sentence,breakdown,feedback,new_vehicle_purchase_enquiry,test_drive_request,vehicle_quality,Label
I am stuck for the past 1 hour and the gear box is still not working,1,0,0,0,0,1
the cluch plate needs repair again I am stuck here,1,0,0,0,0,1
I can't get my car back on,1,0,0,0,0,1
This is so frustrating the car stopped in the middle of the road,1,0,0,0,0,1
This is the third time in 2 weeks that fumes are coming out of the front of my car,1,0,0,0,0,1
"There is some fluid leaking out of the bottom, I need assistance",1,0,0,0,0,1
"The tire burst on the higway, please send someone immediately",1,0,0,0,0,1
"Can you send somebody, there are weird noises coming from the engine",1,0,0,0,0,1
The car is steering to the right even though the tires aren't punctured,1,0,0,0,0,1
"I am near cama hospital, please send someone immediately, my car wont start",1,0,0,0,0,1
"The handbrake is stuck, I am near nagpada",1,0,0,0,0,1
What is the release date of the new jeep,0,0,1,0,0,3
what milage can I expect from the car,0,0,1,0,0,3
What are the new features of this car,0,0,1,0,0,3
How does this car differ from the old model,0,0,1,0,0,3
What are the financing options available for this car,0,0,1,0,0,3
When will be the vehicle delivered if I order it this diwali,0,0,1,0,0,3
Are there any offers this festive season,0,0,1,0,0,3
Can I trade in my old car for the new one,0,0,1,0,0,3
"Is there any parking assistence in this car, my current one doesn’t have it",0,0,1,0,0,3
Was this model displayed at the automotive show? When can one buy it?,0,0,1,0,0,3
The fuel cap just broke again,0,0,0,0,1,5
"The steering sucks on this car, too much effort",0,0,0,0,1,5
The windows don't go down,0,0,0,0,1,5
"The ground clearence is too low, it hits every bump on the road",0,0,0,0,1,5
"There need to be tubeless tire's option, it punctures too often",0,0,0,0,1,5
One of the doors wont open,0,0,0,0,1,5
The sound system is making a screeching noise,0,0,0,0,1,5
The suspention is too tight,0,0,0,0,1,5
"The headlight isn't good, water seeps in the monsoons",0,0,0,0,1,5
The windsheeld wipers doesn't function,0,0,0,0,1,5
When can I come to check out the new fiat?,0,0,0,1,0,4
What time next week can I drive the car?,0,0,0,1,0,4
Is the honda city available for test drive tomorrow?,0,0,0,1,0,4
What is the fee for test driving the new model,0,0,0,1,0,4
I had to wait for an hour but the test drive is complete,0,0,0,1,0,4
"The test drive went well, I appreciate it",0,0,0,1,0,4
I would like to schedule a test drive for the day after tomorrow,0,0,0,1,0,4
Hello sir how was your experience?,0,0,0,1,0,4
Could I book another appointment ?,0,0,0,1,0,4
Sir I would like to confirm the the drive has occured,0,0,0,1,0,4
The service was fine,0,1,0,0,0,2
This is very unprofessional behaiviour,0,1,0,0,0,2
I am very unhappy with the servicing,0,1,0,0,0,2
The delivery wasn’t on time,0,1,0,0,0,2
I appreciate your help,0,1,0,0,0,2
"Why did the process have to be so slow, it was super annoying",0,1,0,0,0,2
I would like to register a complaint regarding your poor service and negligence,0,1,0,0,0,2
How was your experience?,0,1,0,0,0,2
Your feedback is appreciated,0,1,0,0,0,2
Thanks for the timely delivery,0,1,0,0,0,2
Are you in a safe location with the vehicle at the moment,1,0,0,0,0,1
"Please remain with your vehicle, a mechanic will be at your location shortly",1,0,0,0,0,1
Could you please describe the issue you are facing with the car,1,0,0,0,0,1
Can you describe the events leading up to the car breakdown,1,0,0,0,0,1
There is a garage within 1 km of your location,1,0,0,0,0,1
A tow truck has been sent out and will reach you in 15 minutes,1,0,0,0,0,1
The nearest garage is 10kms away,1,0,0,0,0,1
"You will have to change the flat tire yourself, do you have a car jack and a wheel spanner",1,0,0,0,0,1
Do you have a spare tyre,1,0,0,0,0,1
Remove the hubcap or wheel cover,1,0,0,0,0,1
What are the new safety features in this model,0,0,1,0,0,3
Are there any deals to exchange my car in for the newer model,0,0,1,0,0,3
There is a showroom in andheri where you can check out the new model,0,0,1,0,0,3
How much mileage/fuel average does it give,0,0,1,0,0,3
What is the on-road price for maharashtra,0,0,1,0,0,3
When you want to upgrade your veheicle this car also has a good reslae value,0,0,1,0,0,3
How much is the ground clearance,0,0,1,0,0,3
How long is the waranty,0,0,1,0,0,3
What all is covered under the warranty,0,0,1,0,0,3
How much is the extended warranty,0,0,1,0,0,3
I have been experiencing a bouncy ride,0,0,0,0,1,5
You might have overfilled tires,0,0,0,0,1,5
I have been experiencing a very hard ride,0,0,0,0,1,5
There might be an issue with your suspension,0,0,0,0,1,5
The tires of my car seem to be worn out unevenly,0,0,0,0,1,5
There might be a problem with the wheel alignment or wheel balance,0,0,0,0,1,5
The wiper is not working properly/effectively,0,0,0,0,1,5
The wiper blades will need to be replaced,0,0,0,0,1,5
You can go to any mechanic or garage to get this issue fixed,0,0,0,0,1,5
I can book an appointment for servicing at your convenience,0,0,0,0,1,5
The model you requested will be available for a test drive tomorrow afternoon,0,0,0,1,0,4
Sorry to inform you but the test drive that was booked for you has been cancelled,0,0,0,1,0,4
For making a booking we will require a driver's license copy for all people who would wish to test drive the vehicle,0,0,0,1,0,4
For the test drive you are required to carry your valid drivers license with you,0,0,0,1,0,4
Due to unforseen circumstances the car you requested will not be available to test drive on the day you booked,0,0,0,1,0,4
I'm sorry to inform you that your test drive will have to be postponed to later in the evening,0,0,0,1,0,4
This is to confirm the test drive that you have booked for the new Tata Harrier,0,0,0,1,0,4
Can you please postpone my test drive,0,0,0,1,0,4
This call is regarding your recent purchase of the Hexa,0,1,0,0,0,2
"This call is regarding the latest servicing of your vehicle, the Tata Tiago",0,1,0,0,0,2
How are you enjoying the new Tata Nexon that you purchased recently,0,1,0,0,0,2
"After your recent servicing of your vehicle, have you noticed any new issues?",0,1,0,0,0,2
Has the issue with your vehicle been rectified during the latest servicing of your car?,0,1,0,0,0,2
Has the car you recently purchased met with your expectations,0,1,0,0,0,2
"You will need to jump start the battery, do you have jumper leads",1,0,0,0,0,1
Put both the vehicles in Park or Neutral and shut off the ignition in both cars,1,0,0,0,0,1
start the engine that is working and let it run for a few minutes,1,0,0,0,0,1
pull the hand brake and put the car in reverse gear,1,0,0,0,0,1
My car won't start,1,0,0,0,0,1
"Sir, I think your car battery has drained due to headlights being on the entire night",1,0,0,0,0,1
What to do I am on highway and tyres are punctured ,1,0,0,0,0,1
The red light is flickering and the engine is not starting,1,0,0,0,0,1
"There is an issue with the car's alternator, it has failed",1,0,0,0,0,1
system powered by electrical system is not working,1,0,0,0,0,1
"Renault is launching a new climber version of kwid, I want to know its details",0,0,1,0,0,3
Will there be a loan issue while buying Mercedes Benz on my salary ,0,0,1,0,0,3
"Interested in new features of nano by tata, want to know more",0,0,1,0,0,3
average of SUV compared to average of a sedan,0,0,1,0,0,3
when will the higher version of toyota corolla release,0,0,1,0,0,3
is there purple colour available in nano by tata,0,0,1,0,0,3
interested in knowing the details of the new launch of i20,0,0,1,0,0,3
what are the safety precautions in this car,0,0,1,0,0,3
are there any festive offers on this car ,0,0,1,0,0,3
is the same model available in brown leather seats instead of black,0,0,1,0,0,3
The reverse camera is not working,0,0,0,0,1,5
The distance sensors are not working,0,0,0,0,1,5
There is some liquid leaking from my car,0,0,0,0,1,5
My car keeps drifting to the left side on a straight road,0,0,0,0,1,5
The engine oil needs to be changed,0,0,0,0,1,5
Fresh coolant needs to be put,0,0,0,0,1,5
the automatic windows dont work anymore,0,0,0,0,1,5
The leather seats have started wearing off,0,0,0,0,1,5
the engine heats up too fast,0,0,0,0,1,5
The AC always stops working even after continuous repairs,0,0,0,0,1,5
"thanks for placing a test drive request with us, we will connect with you shortly ",0,0,0,1,0,4
the test drive requested by you has been rejected because you dont own a valid driver's license,0,0,0,1,0,4
"thanks for showing interest in the car, would you like to take a test drive as well?",0,0,0,1,0,4
I can only decide to buy the car if I am satisfied with the test drive,0,0,0,1,0,4
"how long is the queue for test drive, its been days now since i have waited",0,0,0,1,0,4
"due to heavy floods, test drives for mercedes benz have been cancelled for the day",0,0,0,1,0,4
"Sorry sir, we dont provide test drives without valid driver's license",0,0,0,1,0,4
"I want to buy the car right away, no need of test drive",0,0,0,1,0,4
could you please reschedule my test drive to next week,0,0,0,1,0,4
regret to inform but your test drive request has been rejected ,0,0,0,1,0,4
"your car service is pathetic, need to employee more efficient workers",0,1,0,0,0,2
"i am really happy with your service, my car AC works perfectly ",0,1,0,0,0,2
"such an annoying staff, no work ethics at all",0,1,0,0,0,2
just wanted to thank you for doing such a wonderful work on my car,0,1,0,0,0,2
your service center takes many days to respond and it is not convenient,0,1,0,0,0,2
I think the service center needs to have a waiting area,0,1,0,0,0,2
"I want to give feedback for my car service, where can I give it",0,1,0,0,0,2
We would like you to give us feedback either over call or online ,0,1,0,0,0,2
How was your experience with the timely delivery of the car,0,1,0,0,0,2
